trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,0,-145.84269995052117,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",35,0,-172.14948578116847,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-42.50884251965312,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-132.6452057072967,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-181.30863364542816,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,0,-225.82306731583594,"{0: 20, 1: 1, 2: 2, 3: 3, 4: 4}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-136.17703707996185,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,0,-85.3685880722042,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-141.78962749313175,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",30,0,-35.507491514294415,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,0,-97.47680444533209,"{0: 17, 1: 7, 2: 4, 3: 2, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,-27.715104757226023,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,17,-19.282800349771676,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-206.55199492532645,"{0: 13, 1: 5, 2: 2, 3: 1, 4: 4}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-106.56230969422862,"{0: 8, 1: 9, 2: 1, 3: 1, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,0,-278.7443256413509,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 6}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,13,-7.96545671250639,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,-92.61684280796243,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,0,-86.58587896136017,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,0,-55.367654531558344,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
